Season,Facility ID,Latitude,Longitude,Street1,Street2,City,State,Postal Code,Country,Type,Facility Name,URL,Phone,Contact,Begin Date,End Date,Begin Time,End Time,Begin DateTime,End DateTime,Recurrence Days,Hours,Eligibility,Cost,Notes,Record ID,Location
2017,70,52.368973,4.939229,Cruquiusweg 31,,Amsterdam,,,Netherlands,AP,Int. Instituut voor Sociale Geschiedenis,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-70,"(52.368973,4.939229)"
2017,71,52.370713,4.938125,C. van Eesterenlaan 266,,Amsterdam,,,Netherlands,AP,De Eester,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-71,"(52.370713,4.938125)"
2017,72,52.363021,4.933901,Balistraat 48A,,Amsterdam,,,Netherlands,AP,Stichting Meevaart,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-72,"(52.363021,4.933901)"
2017,73,52.36046,4.938816,Obiplein t.o. 87. zij-ingang,,Amsterdam,,,Netherlands,AP,Basisschool de Waaier,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-73,"(52.36046,4.938816)"
2017,74,52.365355,4.935507,Timorplein 21,,Amsterdam,,,Netherlands,AP,Stayokay Amsterdam Oost,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-74,"(52.365355,4.935507)"
2017,75,52.363222,4.934707,Balistraat 79,,Amsterdam,,,Netherlands,B,De Indische Buurt School,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met hulp,,Oost,2017-75,"(52.363222,4.934707)"
2017,76,52.357755,4.994624,Talbotstr 46 - ingang Maria Austriastraat,,Amsterdam,,,Netherlands,A,Stichting Flexbieb IJburg,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Oost,2017-76,"(52.357755,4.994624)"
2017,77,52.356618,4.995941,Ed Pelsterpark 2,,Amsterdam,,,Netherlands,A,De Binnenwaai,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Oost,2017-77,"(52.356618,4.995941)"
2017,78,52.353159,5.007258,Franz Zieglerstraat 11,,Amsterdam,,,Netherlands,A,Basisschool De Archipel,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Oost,2017-78,"(52.353159,5.007258)"
2017,79,52.356613,4.996939,Diemerparklaan 79,,Amsterdam,,,Netherlands,A,OBA IJburg,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Oost,2017-79,"(52.356613,4.996939)"
2017,80,52.360985,4.982205,John Hadleystraat 4,,Amsterdam,,,Netherlands,B,Montessorischool Steigereiland,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met hulp,,Oost,2017-80,"(52.360985,4.982205)"
2017,81,52.362738,4.987533,Brigantijnkade 51,,Amsterdam,,,Netherlands,A,abbs De Zuiderzee,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Oost,2017-81,"(52.362738,4.987533)"
2017,82,52.376339,4.940506,Levantkade 127,,Amsterdam,,,Netherlands,AP,Café Kanis en Meiland,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-82,"(52.376339,4.940506)"
2017,83,52.351289,5.004339,Pampuslaan 1,,Amsterdam,,,Netherlands,A,IJburg College 1,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Oost,2017-83,"(52.351289,5.004339)"
2017,84,52.372456,4.969942,Faas Wilkesstraat 451,,Amsterdam,,,Netherlands,A,MKC Zeeburgereiland,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Oost,2017-84,"(52.372456,4.969942)"
2017,85,52.354453,4.993494,Diemerparklaan 11,,Amsterdam,,,Netherlands,A,Willibrordschool IJburg,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Oost,2017-85,"(52.354453,4.993494)"
2017,86,52.371499,4.968938,Geertje Wielemaplein 1,,Amsterdam,,,Netherlands,A,IJburg College 2,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Oost,2017-86,"(52.371499,4.968938)"
2017,87,52.356338,4.93485,Hogeweg 63,,Amsterdam,,,Netherlands,AP,Basisschool Frankendael. locatie Hogeweg,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-87,"(52.356338,4.93485)"
2017,88,52.36149,4.926165,Pieter Nieuwlandstraat 3,,Amsterdam,,,Netherlands,AP,Basisschool De Dapper,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-88,"(52.36149,4.926165)"
2017,89,52.354084,4.944795,Archimedeslaan 59,,Amsterdam,,,Netherlands,A,Kinderboerderij De Werf,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Oost,2017-89,"(52.354084,4.944795)"
